SNo,District Code,Block Code,FTO No.,Financial Institution,Signatory Date,No of Transaction,Amount(In Rs.),No of Transaction Processed,Amount(In Rs.),No of Transaction Rejected,Amount(In Rs.),Total Processed Amount(In Rs.),No of Invalid Account
1,212,212028,AP0212028_010422FTO_54,Bank,01-04-2022,1,7765,8,7765,0,0,7765,0
2,212,212028,AP0212028_010422APB_FTO_59,Bank,01-04-2022,1,98796,118,96931,2,1865,96931,0
3,212,212012,AP0212012_010422FTO_93,Bank,06-04-2022,1,4349,10,3614,4,735,3614,0
4,212,212024,AP0212024_010422FTO_96,Bank,01-04-2022,1,22680,28,20965,3,1715,20965,0
5,212,212009,AP0212009_010422FTO_98,Bank,01-04-2022,1,24577,32,24577,0,0,24577,0
6,212,212012,AP0212012_010422APB_FTO_104,Bank,06-04-2022,1,61855,129,61750,1,105,61750,0
7,212,212009,AP0212009_010422APB_FTO_111,Bank,01-04-2022,1,327743,458,323862,6,3881,323862,0
8,212,212007,AP0212007_010422FTO_215,Bank,01-04-2022,1,4903,10,4903,0,0,4903,0
9,212,212007,AP0212007_010422APB_FTO_216,Bank,01-04-2022,1,74579,119,74579,0,0,74579,0
10,212,212018,AP0212018_010422FTO_230,Bank,01-04-2022,1,50079,75,49273,1,806,49273,0
11,212,212018,AP0212018_010422APB_FTO_245,Bank,01-04-2022,1,271401,437,268489,6,2912,268489,0
12,212,212026,AP0212026_010422FTO_297,Bank,01-04-2022,1,119622,126,116076,4,3546,116076,0
13,212,212026,AP0212026_010422APB_FTO_308,Bank,01-04-2022,1,261492,311,258050,4,3442,258050,0
14,212,212021,AP0212021_020422FTO_398,Bank,02-04-2022,1,37253,29,33624,3,3629,33624,0
15,212,212008,AP0212008_040422FTO_436,Bank,04-04-2022,1,4274,8,4274,0,0,4274,0
16,212,212008,AP0212008_040422APB_FTO_440,Bank,04-04-2022,1,185601,194,177226,8,8375,177226,0
17,212,212003,AP0212003_040422FTO_635,Bank,05-04-2022,1,3311,10,3311,0,0,3311,0
18,212,212003,AP0212003_040422APB_FTO_637,Bank,05-04-2022,1,17588,52,17588,0,0,17588,0
19,212,212003,AP0212003_040422FTO_638,Bank,05-04-2022,1,27189,47,27189,0,0,27189,0
20,212,212026,AP0212026_040422FTO_639,Bank,04-04-2022,1,1620,8,1620,0,0,1620,0
21,212,212026,AP0212026_040422APB_FTO_641,Bank,04-04-2022,1,2040,10,2040,0,0,2040,0
22,212,212003,AP0212003_040422APB_FTO_642,Bank,05-04-2022,1,79869,197,79045,3,824,79045,0
23,212,212029,AP0212029_050422FTO_686,Bank,05-04-2022,1,10605,20,10556,1,49,10556,0
24,212,212029,AP0212029_050422APB_FTO_687,Bank,05-04-2022,1,62601,171,61551,3,1050,61551,0
25,212,212008,AP0212008_050422FTO_708,Bank,06-04-2022,1,602,2,602,0,0,602,0
26,212,212008,AP0212008_050422APB_FTO_709,Bank,06-04-2022,1,7200,24,7200,0,0,7200,0
27,212,212003,AP0212003_050422FTO_711,Bank,05-04-2022,1,2458,11,2458,0,0,2458,0
